CMPD_CHEMBLID	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	STANDARD_TYPE	STANDARD_VALUE	STANDARD_UNITS
CHEMBL275141	517.62	2.28	156.92	2	CCNC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	162	nM
CHEMBL281578	488.58	2.29	130.91	1	CNC(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC=O	IC50	22.7	nM
CHEMBL281578	488.58	2.29	130.91	1	CNC(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC=O	IC50	39	nM
CHEMBL205963	438.55	2.3	144.39	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3CNC4CC4)cc1	IC50	65	nM
CHEMBL205963	438.55	2.3	144.39	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3CNC4CC4)cc1	IC50	945	nM
CHEMBL1078114	404.53	2.32	121.7	0	CCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CC(C)(C)N)cc2	IC50	1649	nM
CHEMBL203948	426.54	2.34	135.6	0	CN(C)Cc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	186	nM
CHEMBL203948	426.54	2.34	135.6	0	CN(C)Cc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	2580	nM
CHEMBL18725	502.61	2.36	130.91	2	CNC(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC(=O)C	IC50	58	nM
CHEMBL18725	502.61	2.36	130.91	2	CNC(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC(=O)C	IC50	74	nM
CHEMBL2048821	460.59	2.36	86.91	0	Cc1cn2cc(CC(=O)N3CCC4(CC3)CN(Cc5ccc(cc5)n6cccn6)C4)nc2s1	IC50	298	nM
CHEMBL2011827	498.57	2.36	90.98	0	O=C(CN1CC(=O)Nc2ccc(Oc3ccccc3)cc2C1=O)NC4CCN(Cc5ccccc5)CC4	IC50	314	nM
CHEMBL378438	426.47	2.37	129.04	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)c4ccncc4)cc3	IC50	3080	nM
CHEMBL378438	426.47	2.37	129.04	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)c4ccncc4)cc3	IC50	10000	nM
CHEMBL2048820	496.03	2.38	99.8	0	Cc1cn2cc(CC(=O)N3CCC4(CC3)CN(Cc5ccc(cc5Cl)n6nccn6)C4)nc2s1	IC50	4.6	nM
CHEMBL212046	440.5	2.41	129.04	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)Cc4cccnc4)cc3	IC50	1000	nM
CHEMBL212046	440.5	2.41	129.04	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)Cc4cccnc4)cc3	IC50	10000	nM
CHEMBL2048811	462.54	2.44	80.93	0	COc1ccc(OCC(=O)N2CCC3(CC2)CN(Cc4ccc(cc4)c5oc(C)nn5)C3)cc1	IC50	1070	nM
CHEMBL2048813	447.53	2.45	72.72	0	COc1ccc(OCC(=O)N2CCC3(CC2)CN(Cc4ccc(cc4)n5nccn5)C3)cc1	IC50	102	nM
CHEMBL417092	557.69	2.46	156.92	2	CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC(=O)C5CCCCN5	IC50	21.5	nM
CHEMBL417092	557.69	2.46	156.92	2	CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC(=O)C5CCCCN5	IC50	116	nM
CHEMBL2048823	475.97	2.5	71.56	0	Clc1ccc2nc(CC(=O)N3CCC4(CC3)CN(Cc5ccc(cc5)n6nccn6)C4)cn2c1	IC50	204	nM
CHEMBL2163469	503.6	2.5	162.13	2	CC(C)CN(NC(=O)[C@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N	IC50	10000	nM
CHEMBL382853	490.58	2.51	154.48	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3COCc4cccnc4)cc1	IC50	38	nM
CHEMBL382853	490.58	2.51	154.48	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3COCc4cccnc4)cc1	IC50	187	nM
CHEMBL386290	377.44	2.53	116.15	0	CCC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	221	nM
CHEMBL386290	377.44	2.53	116.15	0	CCC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	10000	nM
CHEMBL2164835	442.94	2.54	73.91	0	COc1ccc(cc1)C2(NC(=O)CN3CCN(C)CC3)C(=O)Nc4cc(Cl)c(C)cc24	IC50	525	nM
CHEMBL275660	516.63	2.57	122.11	1	CNC(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N(C)[C@H](Cc3c[nH]c4ccccc34)NC(=O)C	IC50	25.6	nM
CHEMBL275660	516.63	2.57	122.11	1	CNC(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N(C)[C@H](Cc3c[nH]c4ccccc34)NC(=O)C	IC50	29.5	nM
CHEMBL212354	406.48	2.58	128.18	0	CC(C)NC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	56	nM
CHEMBL2011836	562.7	2.59	100.21	1	CC(C)[C@@H](N1CC(=O)Nc2ccc(Oc3ccccc3)cc2C1=O)C(=O)N4CCC(CC4)NCCC5CCOCC5	IC50	313	nM
CHEMBL2163467	787.91	2.59	249.01	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N	IC50	4550	nM
CHEMBL2011887	504.62	2.6	90.97	1	CC(C)[C@@H](N1CC(=O)Nc2ccc(Oc3ccccc3)cc2C1=O)C(=O)N4CCC(CC4)NCC5CC5	IC50	50	nM
CHEMBL275373	502.61	2.6	144.9	2	CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	185	nM
CHEMBL275373	502.61	2.6	144.9	2	CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	460	nM
CHEMBL2163464	850.02	2.6	275.44	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](C)N)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	3610	nM
CHEMBL2163449	850.02	2.6	275.45	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](C)N)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	11200	nM
CHEMBL211265	389.45	2.62	116.15	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)C4CC4)cc3	IC50	66	nM
CHEMBL211265	389.45	2.62	116.15	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)C4CC4)cc3	IC50	188	nM
CHEMBL1087907	432.51	2.65	68.88	0	C[C@H]1CN(CCN1C(=O)c2ccc3cc[nH]c3c2)C(=O)c4ccc(cc4)N5CCOCC5	IC50	338.7	nM
CHEMBL3319278	393.8	2.65	126.75	0	CS(=O)(=O)c1ccc2nc(NC(=O)NC(=O)c3ccccc3Cl)oc2c1	IC50	10000	nM
CHEMBL203158	439.53	2.67	141.59	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3[C@@H]4CCCO4)cc1	IC50	54	nM
CHEMBL204852	439.53	2.67	141.59	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3[C@H]4CCCO4)cc1	IC50	57	nM
CHEMBL181313	465.47	2.68	96.1	0	CCN(CC)CCN1C(=O)[C@@](O)(c2cccc(OC)c2)c3c1cc(cc3C(F)(F)F)C(=O)N	IC50	77	nM
CHEMBL180755	465.47	2.68	96.1	0	CCN(CC)CCN1C(=O)[C@@](O)(c2ccc(OC)cc2)c3c1cc(cc3C(F)(F)F)C(=O)N	IC50	106	nM
CHEMBL183916	465.47	2.68	96.1	0	CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2OC)c3c1cc(cc3C(F)(F)F)C(=O)N	IC50	160	nM
CHEMBL2164509	433.33	2.69	73.47	0	Cc1cc2c(NC(=O)C2(NC(=O)CN3CCNCC3)c4ccc(Cl)cc4)cc1Cl	IC50	10000	nM
CHEMBL181312	435.44	2.7	86.86	0	CCN(CC)CCN1C(=O)C(O)(c2ccccc2)c3c1cc(cc3C(F)(F)F)C(=O)N	IC50	116	nM
CHEMBL3218901	511.57	2.72	101.88	1	COc1cccc(c1)n2cc3N=C(N(C[C@H]4CCCN(Cc5ocnc5)C4)C(=O)c3n2)c6cccnc6C	IC50	120	nM
CHEMBL2164833	463.36	2.72	73.91	0	COc1ccc(cc1)C2(NC(=O)CN3CCN(C)CC3)C(=O)Nc4cc(Cl)c(Cl)cc24	IC50	700	nM
CHEMBL3218908	437.53	2.73	72.19	0	COc1cccc(c1)n2cc3N=C(C)N(C[C@H]4CCCN(C[C@H]5CCCO5)C4)C(=O)c3n2	IC50	980	nM
CHEMBL3319214	511.01	2.74	163.11	1	COCCNCCCS(=O)(=O)c1ccc2nc(NC(=O)NC(=O)c3ccccc3Cl)sc2c1	IC50	8.6	nM
CHEMBL2164827	433.33	2.74	64.67	0	CN1CCN(CC(=O)NC2(C(=O)Nc3cc(Cl)ccc23)c4ccc(Cl)cc4)CC1	IC50	140	nM
CHEMBL2426678	469.58	2.75	71.45	0	COc1ccc(CC(=O)N2CCC3(CC2)CN(C3)C4CCc5cc(ccc45)c6ncccn6)nc1	IC50	37.15	nM
CHEMBL2203623	538.68	2.75	120	1	CC[C@H](C)[C@@H]1NCCOc2ccccc2CCCNC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](CO)N(C)C1=O	IC50	500	nM
CHEMBL2426679	469.58	2.75	71.45	0	COc1ccc(CC(=O)N2CCC3(CC2)CN(C3)[C@H]4CCc5cc(ccc45)c6ncccn6)nc1	IC50	1096.48	nM
CHEMBL382138	469.56	2.76	158.66	0	CCOC(=O)CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	82	nM
CHEMBL1082190	413.47	2.76	85.09	0	C[C@H]1CN(CCN1C(=O)c2ccc3cc[nH]c3c2)C(=O)c4ccc(cc4)c5cn[nH]c5	IC50	123	nM
CHEMBL2048824	487	2.77	66.63	0	Clc1ccc2nc(CC(=O)N3CCC4(CC3)CN(Cc5ccc(cc5)c6ncccn6)C4)cn2c1	IC50	321	nM
CHEMBL1078402	418.55	2.77	121.7	0	CCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CC(C)(C)N)cc2	IC50	474	nM
CHEMBL1078533	404.53	2.78	121.7	0	CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CN)cc2	IC50	1715	nM
CHEMBL3218889	481.55	2.78	99.64	0	Cc1ncccc1C2=Nc3cn(nc3C(=O)N2CC4CCCN(C4)C5COC5)c6ccc(cc6)C#N	IC50	4000	nM
CHEMBL212761	420.51	2.79	128.18	0	CC(C)(C)NC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	7	nM
CHEMBL210173	420.51	2.79	119.39	0	CC(C)N(C)C(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	10000	nM
CHEMBL380971	479.55	2.84	154.73	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3COCc4occc4)cc1	IC50	2.7	nM
CHEMBL380971	479.55	2.84	154.73	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3COCc4occc4)cc1	IC50	9.6	nM
CHEMBL2048808	380.48	2.88	42.01	0	COc1ccc(OCC(=O)N2CCC3(CC2)CN(Cc4ccccc4)C3)cc1	IC50	2980	nM
CHEMBL3586031	542.58	2.89	111.25	1	CC(=O)N1CCC(=CC1)c2cnc(NCc3ccc4OCOc4c3)c(c2)C(=O)NC[C@H]5COc6ccccc6O5	IC50	42	nM
CHEMBL279822	516.63	2.9	122.11	1	CN(C)C(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC(=O)C	IC50	20.1	nM
CHEMBL3586028	504.53	2.9	103.41	1	O=C(NC[C@H]1COc2ccccc2O1)c3cc(cnc3NCc4ccc5OCOc5c4)N6CCOCC6	IC50	47	nM
CHEMBL279822	516.63	2.9	122.11	1	CN(C)C(C)(C)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc3c[nH]c4ccccc34)NC(=O)C	IC50	440	nM
CHEMBL378909	422.5	2.92	138.15	0	CCc1nc(N)nc(N)c1c2ccc3c(c2)ncn3Cc4ccc(cc4)S(=O)(=O)C	IC50	4	nM
CHEMBL378909	422.5	2.92	138.15	0	CCc1nc(N)nc(N)c1c2ccc3c(c2)ncn3Cc4ccc(cc4)S(=O)(=O)C	IC50	11	nM
CHEMBL281173	518.61	2.93	154.12	2	CCOC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	16.2	nM
CHEMBL3218888	483.56	2.93	99.64	0	COCCN1CCCC(CN2C(=O)c3nn(cc3N=C2c4cccnc4C)c5ccc(cc5)C#N)C1	IC50	44	nM
CHEMBL281173	518.61	2.93	154.12	2	CCOC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)N	IC50	122	nM
CHEMBL3218893	500.59	2.94	85.08	1	COc1cccc(c1)n2cc3N=C(N(C[C@H]4CCCN(CC5CCO5)C4)C(=O)c3n2)c6cccnc6C	IC50	23	nM
CHEMBL375568	441.53	2.94	128.26	0	CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)c3nnc(Cc4c[nH]c5ccccc45)[nH]3	IC50	2200	nM
CHEMBL206741	493.58	2.98	154.73	0	Cc1oc(COCc2nc(N)nc(N)c2c3ccc(NCc4ccc(cc4)S(=O)(=O)C)cc3)cc1	IC50	3.4	nM
CHEMBL206741	493.58	2.98	154.73	0	Cc1oc(COCc2nc(N)nc(N)c2c3ccc(NCc4ccc(cc4)S(=O)(=O)C)cc3)cc1	IC50	9.7	nM
CHEMBL203782	412.49	2.98	111.97	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NCc4ccncc4)cc3	IC50	21	nM
CHEMBL203782	412.49	2.98	111.97	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NCc4ccncc4)cc3	IC50	86	nM
CHEMBL203280	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	7	nM
CHEMBL203280	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	7.4	nM
CHEMBL203280	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	9.7	nM
CHEMBL203373	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(CNc3ccc(cc3)S(=O)(=O)C)cc2	IC50	9.8	nM
CHEMBL203280	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	12	nM
CHEMBL203280	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	19	nM
CHEMBL203280	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	37	nM
CHEMBL203373	397.49	3	132.36	0	CCc1nc(N)nc(N)c1c2ccc(CNc3ccc(cc3)S(=O)(=O)C)cc2	IC50	120	nM
CHEMBL1078498	438.54	3.02	121.7	0	CC(C)(N)Cc1ccc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccccc3)cc2)cc1	IC50	263	nM
CHEMBL204884	441.55	3.02	138.6	0	CCc1nc(N)nc(NCCO)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	354	nM
CHEMBL204884	441.55	3.02	138.6	0	CCc1nc(N)nc(NCCO)c1c2ccc(NCc3ccc(cc3)S(=O)(=O)C)cc2	IC50	3080	nM
CHEMBL3218891	488.58	3.03	85.08	0	COCCN1CCC[C@H](CN2C(=O)c3nn(cc3N=C2c4cccnc4C)c5cccc(OC)c5)C1	IC50	6.1	nM
CHEMBL1078608	452.57	3.03	121.7	0	CC(C)(N)Cc1ccc(NS(=O)(=O)c2ccc(NC(=O)NCc3ccccc3)cc2)cc1	IC50	128	nM
CHEMBL18853	516.63	3.03	130.91	2	CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)NC	IC50	167	nM
CHEMBL18853	516.63	3.03	130.91	2	CCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)C(C)(C)NC	IC50	10000	nM
CHEMBL2011889	554.64	3.03	108.05	1	CC(C)[C@@H](N1CC(=O)Nc2ccc(Oc3ccccc3)cc2C1=O)C(=O)NC4CCN(CC4)C(=O)c5ccccc5	IC50	10000	nM
CHEMBL422630	532.67	3.03	156.69	1	CCCCCCCC(=O)OC[C@H](NC(=O)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N	IC50	10000	nM
CHEMBL1080320	430.52	3.06	97.54	0	C[C@H]1CN(CCN1C(=O)c2ccc3cc[nH]c3c2)C(=O)c4ccc(cc4)c5cncs5	IC50	65	nM
CHEMBL373993	455.55	3.09	117.41	0	CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)c3nncn3CCc4c[nH]c5ccccc45	IC50	850	nM
CHEMBL205796	409.5	3.1	132.36	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3C4CC4)cc1	IC50	19	nM
CHEMBL1077839	418.55	3.1	121.7	0	CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CCN)cc2	IC50	272	nM
CHEMBL2048812	446.54	3.1	59.83	0	COc1ccc(OCC(=O)N2CCC3(CC2)CN(Cc4ccc(cc4)n5cccn5)C3)cc1	IC50	442	nM
CHEMBL1079340	418.55	3.1	121.7	0	CCCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2cccc(CCN)c2	IC50	625	nM
CHEMBL3342358	418.9	3.11	117.28	0	CNc1nc(NCc2ccc(NS(=O)(=O)C)cc2Cl)cc(n1)c3ccccn3	IC50	30000	nM
CHEMBL2048814	481.97	3.12	72.72	0	COc1ccc(OCC(=O)N2CCC3(CC2)CN(Cc4ccc(cc4Cl)n5nccn5)C3)cc1	IC50	14	nM
CHEMBL3218907	514.62	3.13	85.08	1	COc1cccc(c1)n2cc3N=C(N(C[C@H]4CCCN(CC5CCOC5)C4)C(=O)c3n2)c6cccnc6C	IC50	60	nM
CHEMBL2069411	459.42	3.13	93.57	0	OCc1ccc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCC(F)(F)F)nc4	IC50	200	nM
CHEMBL373995	455.55	3.14	117.41	0	Cn1c(Cc2c[nH]c3ccccc23)nnc1[C@@H](Cc4c[nH]c5ccccc45)NC(=O)C(C)(C)N	IC50	1700	nM
CHEMBL2163466	876.06	3.15	261.45	2	CC(C)CN(NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]3CCCN3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)N[C@H](Cc6ccccc6)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	1170	nM
CHEMBL1079624	424.49	3.16	69.3	0	C[C@H]1CN(CCN1C(=O)c2ccc3cc[nH]c3c2)C(=O)c4ccc(cc4)c5ccncc5	IC50	12.7	nM
CHEMBL1080162	424.49	3.16	69.3	0	C[C@H]1CN(CCN1C(=O)c2ccc3cc[nH]c3c2)C(=O)c4ccc(cc4)c5cccnc5	IC50	143	nM
CHEMBL3319405	578.1	3.17	157.56	1	CN1CCC(CC1)S(=O)(=O)c2ccc3nc(NC(=O)NC(=O)c4cc(ccc4Cl)N5CCOCC5)sc3c2	IC50	6.7	nM
CHEMBL211188	431.51	3.19	144.39	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)c4ccsc4)cc3	IC50	126	nM
CHEMBL211188	431.51	3.19	144.39	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)c4ccsc4)cc3	IC50	10000	nM
CHEMBL204352	354.84	3.2	102.74	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccnc(Cl)c3)cc2	IC50	110	nM
CHEMBL499371	891.07	3.2	289.27	2	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H](N)CCC(=O)N)C(=O)N	IC50	120	nM
CHEMBL204352	354.84	3.2	102.74	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccnc(Cl)c3)cc2	IC50	220	nM
CHEMBL1082189	442.51	3.2	82.44	0	C[C@H]1CN(CCN1C(=O)c2ccc3cc[nH]c3c2)C(=O)c4ccc(cc4)c5c(C)onc5C	IC50	244.6	nM
CHEMBL499371	891.07	3.2	289.27	2	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H](N)CCC(=O)N)C(=O)N	IC50	990	nM
CHEMBL3319276	409.87	3.21	141.85	0	CS(=O)(=O)c1ccc2nc(NC(=O)NC(=O)c3ccccc3Cl)sc2c1	IC50	120	nM
CHEMBL204322	466.6	3.21	144.39	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3CNC4CCCC4)cc1	IC50	122	nM
CHEMBL204322	466.6	3.21	144.39	0	CS(=O)(=O)c1ccc(CNc2ccc(cc2)c3c(N)nc(N)nc3CNC4CCCC4)cc1	IC50	3430	nM
CHEMBL3319277	409.87	3.21	141.85	0	CS(=O)(=O)c1ccc2sc(NC(=O)NC(=O)c3ccccc3Cl)nc2c1	IC50	4700	nM
CHEMBL3319223	621.17	3.22	160.8	1	CN1CCN(CCCS(=O)(=O)c2ccc3nc(NC(=O)NC(=O)c4cc(ccc4Cl)N5CCOCC5)sc3c2)CC1	IC50	0.77	nM
CHEMBL204564	361.44	3.22	106.91	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)C(=O)C)cc2	IC50	57	nM
CHEMBL212415	445.54	3.22	144.39	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)Cc4ccsc4)cc3	IC50	70	nM
CHEMBL204564	361.44	3.22	106.91	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)C(=O)C)cc2	IC50	110	nM
CHEMBL2164494	447.36	3.22	64.67	0	CN1CCN(CC(=O)NC2(C(=O)Nc3cc(Cl)c(C)cc23)c4ccc(Cl)cc4)CC1	IC50	213	nM
CHEMBL2164834	447.36	3.22	64.67	0	CN1CCN(CC(=O)NC2(C(=O)Nc3cc(C)c(Cl)cc23)c4ccc(Cl)cc4)CC1	IC50	251	nM
CHEMBL212415	445.54	3.22	144.39	0	Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)Cc4ccsc4)cc3	IC50	382	nM
CHEMBL2164493	447.36	3.22	64.67	0	CN1CCN(CC(=O)NC2(C(=O)Nc3ccc(C)c(Cl)c23)c4ccc(Cl)cc4)CC1	IC50	1160	nM
CHEMBL2164495	447.36	3.22	64.67	0	CN1CCN(CC(=O)NC2(C(=O)Nc3cc(Cl)c(C)cc23)c4cccc(Cl)c4)CC1	IC50	1180	nM
CHEMBL2164496	447.36	3.22	64.67	0	CN1CCN(CC(=O)NC2(C(=O)Nc3cc(Cl)c(C)cc23)c4ccccc4Cl)CC1	IC50	10000	nM
CHEMBL213703	405.49	3.23	116.15	0	CC(C)CC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	72	nM
CHEMBL213703	405.49	3.23	116.15	0	CC(C)CC(=O)Nc1ccc(cc1)c2c(N)nc(N)nc2COCc3ccccc3	IC50	108	nM
CHEMBL1078403	432.58	3.23	121.7	0	CCCCCNC(=O)Nc1ccc(cc1)S(=O)(=O)Nc2ccc(CC(C)(C)N)cc2	IC50	241	nM
CHEMBL204511	363.46	3.25	110.08	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)C(C)O)cc2	IC50	13	nM
CHEMBL204511	363.46	3.25	110.08	0	CCc1nc(N)nc(N)c1c2ccc(NCc3ccc(cc3)C(C)O)cc2	IC50	110	nM
CHEMBL540603	471.39	3.27	87.79	0	Cl.NCCCCCNC(=O)CN1C(=Nc2ccc(Br)cc2C1=O)CCc3ccccc3	IC50	340	nM
CHEMBL3645258	621.73	3.28	135.18	1	COc1ccc(Cn2c(nnc2[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H]5CNCCO5)[C@@H](Cc6ccccc6)NC(=O)C)cc1	IC50	3	nM
CHEMBL3645258	621.73	3.28	135.18	1	COc1ccc(Cn2c(nnc2[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H]5CNCCO5)[C@@H](Cc6ccccc6)NC(=O)C)cc1	IC50	3.4	nM
CHEMBL3645258	621.73	3.28	135.18	1	COc1ccc(Cn2c(nnc2[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H]5CNCCO5)[C@@H](Cc6ccccc6)NC(=O)C)cc1	IC50	9	nM
CHEMBL2426681	474.62	3.29	86.8	0	COc1ccc(CC(=O)N2CCC3(CC2)CN(C3)C4CCc5cc(ccc45)c6nccs6)nc1	IC50	30.2	nM
CHEMBL3645257	566.65	3.31	134.15	1	COc1ccc(Cn2c(nnc2[C@@H](Cc3c[nH]c4ccccc34)NC(=O)CO)[C@@H](Cc5ccccc5)NC(=O)C)cc1	IC50	2	nM
